hexagon_n,tree_pct,pop_ft,tree_class,tree_class_text,pop_class,pop_class_text,combined_class
282,40.874198519751495,5383.309834841331,1,medium,2,high,"medium trees, high pop"
283,67.83713939191011,1561.3075210694951,2,high,0,low,"high trees, low pop"
284,21.71516962029618,1666.9590791845003,0,low,1,medium,"low trees, medium pop"
285,18.16194673714043,3597.113454899133,0,low,2,high,"low trees, high pop"
286,38.88291057839976,3944.437783178045,1,medium,2,high,"medium trees, high pop"
287,49.13871558821116,979.66538928157,2,high,0,low,"high trees, low pop"
288,44.492254852171,2047.141184076272,1,medium,1,medium,"medium trees, medium pop"
289,0.0,0.0,0,low,0,low,"low trees, low pop"
290,41.94757445687714,2095.6117265386324,1,medium,1,medium,"medium trees, medium pop"
291,37.61932270523593,1593.039668028743,1,medium,0,low,"medium trees, low pop"
292,40.91405391103275,977.0465942884484,1,medium,0,low,"medium trees, low pop"
293,31.717230580002408,4004.448162725495,1,medium,2,high,"medium trees, high pop"
294,6.499850450590711,5163.034416492547,0,low,2,high,"low trees, high pop"
295,49.09867674884362,3752.970715691529,2,high,2,high,"high trees, high pop"
296,46.59990910781317,1092.2330139890023,2,high,0,low,"high trees, low pop"
297,64.14309321736256,1282.5562505314454,2,high,0,low,"high trees, low pop"
298,56.970908841159506,1634.802712088911,2,high,1,medium,"high trees, medium pop"
299,56.43857850867692,1374.0965253354286,2,high,0,low,"high trees, low pop"
300,0.75948961230501,2.825124747643941,0,low,0,low,"low trees, low pop"
301,26.76332586425318,2370.381735904551,0,low,1,medium,"low trees, medium pop"
302,32.321442582666286,3764.324665682924,1,medium,2,high,"medium trees, high pop"
303,48.04518662131342,3507.3441706525327,2,high,2,high,"high trees, high pop"
304,15.98721940723657,6799.156862495459,0,low,2,high,"low trees, high pop"
305,24.48721684827197,4269.383071911687,0,low,2,high,"low trees, high pop"
306,60.86723552466133,380.875321924628,2,high,0,low,"high trees, low pop"
307,25.901621807032548,3539.346191944299,0,low,2,high,"low trees, high pop"
308,19.24198661998464,744.460662089544,0,low,0,low,"low trees, low pop"
309,4.6203098684087704,592.5925481252808,0,low,0,low,"low trees, low pop"
310,38.09541795328114,1762.6338696616242,1,medium,1,medium,"medium trees, medium pop"
311,25.255359494862812,1532.0481276651155,0,low,0,low,"low trees, low pop"
312,40.1781898569655,3086.670517834429,1,medium,1,medium,"medium trees, medium pop"
313,5.79432032970185,5132.330659671859,0,low,2,high,"low trees, high pop"
314,34.97254109185634,4423.790235127187,1,medium,2,high,"medium trees, high pop"
315,28.34440007371586,4005.125106128268,0,low,2,high,"low trees, high pop"
316,72.26649305599607,1117.0386301693236,2,high,0,low,"high trees, low pop"
317,16.63815641593475,4164.524788325208,0,low,2,high,"low trees, high pop"
318,1.91079604708621,2292.3538327987285,0,low,1,medium,"low trees, medium pop"
319,66.72350458867218,2292.580059378404,2,high,1,medium,"high trees, medium pop"
320,45.74658287159071,3735.5891381295287,2,high,2,high,"high trees, high pop"
321,44.14396061139565,2226.256953639786,1,medium,1,medium,"medium trees, medium pop"
322,65.44654324081746,1404.5045906469077,2,high,0,low,"high trees, low pop"
