city_id,hexagon_n,UC_NM_MN,CTR_MN_NM,CTR_MN_ISO,tree_pct,pop_ft_pct,tr_pct_bin,geometry
1701.0,994,Madrid,Spain,ESP,0.035529585618578,0.1664373258457155,"[0.02, 0.04)","POLYGON ((-3.684264241112459 40.428318971230006, -3.684264241112459 40.43731610820049, -3.6725194113123036 40.43731610820049, -3.6725194113123036 40.428318971230006, -3.684264241112459 40.428318971230006))"
1910.0,502,Accra,Ghana,GHA,0.006514088200682,0.7338167159446046,"[0.0, 0.02)","POLYGON ((-0.2130681950052979 5.548011587428049, -0.2130681950052979 5.55700872429607, -0.2040862675951726 5.55700872429607, -0.2040862675951726 5.548011587428049, -0.2130681950052979 5.548011587428049))"
2046.0,701,Paris,France,FRA,0.115672423255583,0.1039869799284183,"[0.1, 0.12)","POLYGON ((2.3787721094695073 48.86457437175786, 2.3787721094695073 48.87357150876812, 2.3923628960220045 48.87357150876812, 2.3923628960220045 48.86457437175786, 2.3787721094695073 48.86457437175786))"
2095.0,660,Algiers,Algeria,DZA,0.006921034473609,0.3102922451740519,"[0.0, 0.02)","POLYGON ((3.06051370350131 36.749130450419656, 3.06051370350131 36.758127587375874, 3.0716714666139624 36.758127587375874, 3.0716714666139624 36.749130450419656, 3.06051370350131 36.749130450419656))"
2101.0,28,Porto-Novo,Benin,BEN,0.01894238381506,0.3233383942419267,"[0.0, 0.02)","POLYGON ((2.620578885202956 6.461073668617886, 2.620578885202956 6.470070805488095, 2.6295758924021273 6.470070805488095, 2.6295758924021273 6.461073668617886, 2.620578885202956 6.461073668617886))"
2125.0,1291,Lagos,Nigeria,NGA,0.0,0.8689621861636232,"[0.0, 0.02)","POLYGON ((3.331085977013841 6.4617453728822545, 3.331085977013841 6.470742509752464, 3.3400829961668026 6.470742509752464, 3.3400829961668026 6.4617453728822545, 3.331085977013841 6.4617453728822545))"
2135.0,133,Brussels,Belgium,BEL,0.064469806727743,0.1390541443379976,"[0.06, 0.08)","POLYGON ((4.365045020664376 50.855464872080795, 4.365045020664376 50.864462009102404, 4.379207756307555 50.864462009102404, 4.379207756307555 50.855464872080795, 4.365045020664376 50.855464872080795))"
2167.0,345,Amsterdam,Netherlands,NLD,0.149382798115482,0.1314022204007282,"[0.14, 0.16)","POLYGON ((4.885225059544641 52.353475396985765, 4.885225059544641 52.3624725340166, 4.899862998666488 52.3624725340166, 4.899862998666488 52.353475396985765, 4.885225059544641 52.353475396985765))"
2253.0,32,Luxembourg,Luxembourg,LUX,0.107193820784314,0.1463145388860151,"[0.1, 0.12)","POLYGON ((6.094485852786566 49.60338845011238, 6.094485852786566 49.61238558712675, 6.108281478357405 49.61238558712675, 6.108281478357405 49.60338845011238, 6.094485852786566 49.60338845011238))"
2384.0,2,Bern,Switzerland,CHE,0.167618406307815,0.1407161422983992,"[0.16, 0.18)","POLYGON ((7.427948049785744 46.94501173750747, 7.427948049785744 46.95400887450761, 7.441043884402692 46.95400887450761, 7.441043884402692 46.94501173750747, 7.427948049785744 46.94501173750747))"
2493.0,20,Oslo,Norway,NOR,0.122496632294375,0.0908725754961696,"[0.12, 0.14)","POLYGON ((10.72151801756132 59.92069034942279, 10.72151801756132 59.929687486512016, 10.739357224425316 59.929687486512016, 10.739357224425316 59.92069034942279, 10.72151801756132 59.92069034942279))"
2749.0,574,Copenhagen,Denmark,DNK,0.091940602327899,0.11947054527728,"[0.08, 0.1)","POLYGON ((12.542846519455196 55.666765278730566, 12.542846519455196 55.67576241578417, 12.558698854188226 55.67576241578417, 12.558698854188226 55.666765278730566, 12.542846519455196 55.666765278730566))"
2851.0,655,Berlin,Germany,DEU,0.255155817777664,0.0857813995992488,"[0.24, 0.26)","POLYGON ((13.442805620670608 52.48183374792894, 13.442805620670608 52.49083088496059, 13.45748623852343 52.49083088496059, 13.45748623852343 52.48183374792894, 13.442805620670608 52.48183374792894))"
2897.0,428,Rome,Italy,ITA,0.046264614970032,0.1713847442974923,"[0.04, 0.06)","POLYGON ((12.515782141124323 41.86986125059527, 12.515782141124323 41.87885838757179, 12.527788120029957 41.87885838757179, 12.527788120029957 41.86986125059527, 12.515782141124323 41.86986125059527))"
